INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
301313414,02/18/2025,15:42:00,BRONX,OUTSIDE,40,0,STREET,<18,M,BLACK,40.809673,-73.920192
308096531,06/15/2025,04:45:00,BRONX,OUTSIDE,52,0,STREET,25-44,M,BLACK,40.885834,-73.877738
310971422,08/10/2025,04:40:00,QUEENS,OUTSIDE,104,0,STREET,18-24,F,WHITE HISPANIC,40.72289932,-73.91384832
303861625,03/29/2025,21:38:00,BRONX,OUTSIDE,40,2,HOUSING,<18,F,BLACK,40.81368,-73.925276
303476410,03/22/2025,20:13:00,BROOKLYN,OUTSIDE,73,0,STREET,25-44,M,WHITE HISPANIC,40.661517,-73.910579
303861626,03/30/2025,02:45:00,BRONX,OUTSIDE,43,0,STREET,25-44,F,BLACK HISPANIC,40.832551,-73.864117
300951837,02/11/2025,15:57:00,BRONX,OUTSIDE,47,0,STREET,<18,M,BLACK,40.897859,-73.854775
307581456,06/04/2025,23:45:00,BRONX,OUTSIDE,44,0,STREET,<18,M,WHITE HISPANIC,40.820068,-73.930566
303275049,03/20/2025,00:59:00,MANHATTAN,OUTSIDE,34,0,STREET,25-44,M,BLACK HISPANIC,40.868306,-73.919159
311045536,08/11/2025,16:40:00,BRONX,OUTSIDE,47,2,HOUSING,<18,M,BLACK,0.0,0.0
310650149,08/03/2025,21:22:00,BROOKLYN,OUTSIDE,72,0,OTHER,25-44,M,WHITE HISPANIC,40.646966,-74.020939
313097431,09/17/2025,20:44:00,BROOKLYN,OUTSIDE,70,0,STREET,18-24,M,BLACK,40.652822,-73.962522
306651765,05/18/2025,21:30:00,BROOKLYN,OUTSIDE,75,0,OTHER,18-24,M,BLACK HISPANIC,40.68375359,-73.8856456
311327863,08/17/2025,03:27:00,BROOKLYN,OUTSIDE,71,0,COMMERCIAL,18-24,M,BLACK,40.66759,-73.959087
307442122,06/02/2025,22:25:00,BRONX,OUTSIDE,47,0,DWELLING,25-44,M,BLACK,40.878053,-73.863245
305404406,04/26/2025,20:19:00,BROOKLYN,OUTSIDE,81,0,STREET,<18,M,BLACK,40.678662,-73.924629
311423744,08/19/2025,06:15:00,BROOKLYN,OUTSIDE,60,0,HOUSING,18-24,M,BLACK,40.579162,-74.000371
309605579,07/14/2025,14:30:00,MANHATTAN,OUTSIDE,32,2,HOUSING,25-44,F,BLACK,40.821238,-73.943094
312200897,09/01/2025,18:55:00,BROOKLYN,OUTSIDE,71,0,STREET,45-64,M,BLACK,40.66312629,-73.95089285
302333819,03/09/2025,19:50:00,BROOKLYN,OUTSIDE,83,0,STREET,25-44,M,WHITE HISPANIC,40.691058,-73.90472
311227345,08/14/2025,22:10:00,MANHATTAN,OUTSIDE,7,0,STREET,<18,F,BLACK,40.719599,-73.982369
300131384,01/27/2025,12:20:00,BROOKLYN,OUTSIDE,67,0,DWELLING,65+,M,BLACK,40.651466,-73.954236
306610276,05/17/2025,21:57:00,BROOKLYN,OUTSIDE,75,0,STREET,18-24,M,BLACK,40.65961,-73.890327
300412112,02/01/2025,21:15:00,BRONX,OUTSIDE,47,2,HOUSING,25-44,F,BLACK,40.882385,-73.831191
312797203,09/12/2025,01:20:00,QUEENS,OUTSIDE,106,0,STREET,25-44,M,ASIAN / PACIFIC ISLANDER,40.672267,-73.804944
310122094,07/23/2025,20:05:00,QUEENS,OUTSIDE,114,0,STREET,18-24,M,WHITE HISPANIC,40.767615,-73.908662
304882359,04/16/2025,19:51:00,BRONX,OUTSIDE,40,0,STREET,25-44,M,BLACK,40.817729,-73.904295
309529689,07/13/2025,10:07:00,BROOKLYN,OUTSIDE,67,0,STREET,65+,F,BLACK,40.637804,-73.942377
308800537,06/28/2025,22:00:00,BRONX,OUTSIDE,42,0,STREET,18-24,M,BLACK,40.83176758,-73.90802316
313612569,09/28/2025,21:43:00,BRONX,OUTSIDE,44,0,STREET,25-44,M,BLACK,40.830407,-73.915277
301529587,02/22/2025,00:38:00,BRONX,INSIDE,45,2,HOUSING,18-24,M,BLACK HISPANIC,40.821023,-73.826044
306369562,05/13/2025,16:42:00,BRONX,OUTSIDE,42,0,STREET,18-24,M,BLACK,40.82392587,-73.91145567
304727807,04/14/2025,16:53:00,BRONX,OUTSIDE,46,0,DWELLING,18-24,M,WHITE HISPANIC,40.853048,-73.898764
310613388,08/02/2025,16:48:00,BROOKLYN,OUTSIDE,72,0,STREET,<18,M,BLACK HISPANIC,40.66203,-73.994561
308005977,06/12/2025,21:00:00,BRONX,OUTSIDE,49,0,STREET,<18,M,BLACK,40.845153,-73.866501
301178228,02/15/2025,17:00:00,QUEENS,INSIDE,107,0,DWELLING,<18,F,BLACK,40.718362,-73.768693
313612567,09/28/2025,19:30:00,QUEENS,OUTSIDE,112,0,STREET,18-24,M,WHITE HISPANIC,40.73361929,-73.84475403
304483259,04/09/2025,16:58:00,BRONX,OUTSIDE,46,0,STREET,25-44,M,WHITE HISPANIC,40.86244422,-73.89714218
308800534,06/28/2025,20:20:00,BRONX,OUTSIDE,40,2,HOUSING,<18,M,BLACK,40.811515,-73.922607
311661548,08/22/2025,21:07:00,BROOKLYN,OUTSIDE,88,0,STREET,<18,M,BLACK,40.681856,-73.959091
313612998,09/28/2025,20:53:00,BRONX,OUTSIDE,40,0,STREET,<18,M,BLACK,40.81427012,-73.91534128
306906891,05/23/2025,02:16:00,BROOKLYN,OUTSIDE,75,0,STREET,25-44,M,BLACK,40.684037,-73.874337
304789869,04/15/2025,11:00:00,BRONX,OUTSIDE,50,0,STREET,18-24,M,BLACK,40.873392,-73.900629
310305116,07/27/2025,18:05:00,BRONX,OUTSIDE,44,0,STREET,18-24,M,WHITE HISPANIC,40.838423,-73.914005
313570970,09/28/2025,01:12:00,BRONX,OUTSIDE,43,0,COMMERCIAL,25-44,M,WHITE HISPANIC,40.832551,-73.864117
306214613,05/10/2025,20:33:00,BRONX,OUTSIDE,40,0,STREET,25-44,F,WHITE HISPANIC,40.808777,-73.923131
311757222,08/23/2025,19:27:00,BRONX,OUTSIDE,47,0,PLAYGROUND,25-44,M,BLACK,40.87413587,-73.84086067
